epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,574.442,1.39354,2.74964,1.66988,0.25332,0.51573,0.33106,0.17869,1.53211,3.19207,2.06472,0.000413625,0.000413625,0.000413625
2,1147.28,1.46685,2.31694,1.71118,0.59316,0.35808,0.37338,0.15711,1.73398,4.35914,2.27062,0.000813852,0.000813852,0.000813852
3,1753.53,1.4939,2.18122,1.72547,0.63121,0.34701,0.4004,0.19908,2.00983,2.48307,2.39619,0.00119758,0.00119758,0.00119758
4,2367.68,1.53441,2.01677,1.72672,0.20513,0.55394,0.33373,0.15672,1.86175,2.49069,2.21254,0.00117575,0.00117575,0.00117575
5,3033.61,1.48364,1.90158,1.67339,0.82922,0.26383,0.43579,0.22232,1.7459,2.08102,2.14563,0.001151,0.001151,0.001151
6,3735.36,1.43731,1.78356,1.63754,0.84082,0.58549,0.66114,0.36875,1.70559,1.62473,2.03269,0.00112625,0.00112625,0.00112625
7,4345.61,1.4107,1.73374,1.61191,0.61534,0.58562,0.59698,0.32339,1.64572,1.69424,2.02883,0.0011015,0.0011015,0.0011015
8,4958.35,1.39107,1.66711,1.60693,0.57109,0.60932,0.64441,0.39388,1.53625,1.63107,1.86586,0.00107675,0.00107675,0.00107675
9,5580.71,1.33086,1.5773,1.57483,0.70113,0.72929,0.70952,0.45203,1.45475,1.40507,1.81911,0.001052,0.001052,0.001052
10,6165.7,1.33582,1.53623,1.56215,0.73122,0.7972,0.76489,0.4782,1.35094,1.30435,1.77933,0.00102725,0.00102725,0.00102725
11,6746.12,1.27943,1.45765,1.52202,0.81623,0.64158,0.77539,0.47427,1.50179,1.40441,1.82225,0.0010025,0.0010025,0.0010025
12,7340.46,1.29679,1.42201,1.52594,0.75423,0.74566,0.79525,0.54839,1.4857,1.27867,1.789,0.00097775,0.00097775,0.00097775
13,7937.76,1.25822,1.36105,1.50689,0.8928,0.60301,0.75129,0.47553,1.39388,1.27756,1.74667,0.000953,0.000953,0.000953
14,8526.48,1.23312,1.33314,1.48967,0.84205,0.76691,0.83139,0.57372,1.31544,1.14874,1.65824,0.00092825,0.00092825,0.00092825
15,9113,1.24222,1.3274,1.49035,0.89389,0.76927,0.81467,0.54908,1.48295,1.16831,1.86183,0.0009035,0.0009035,0.0009035
16,9694.39,1.22243,1.28742,1.4813,0.85116,0.67243,0.82313,0.55181,1.35113,1.17681,1.72767,0.00087875,0.00087875,0.00087875
17,10254.2,1.19927,1.24725,1.47048,0.88852,0.76381,0.83462,0.58929,1.35104,1.06883,1.696,0.000854,0.000854,0.000854
18,10810.4,1.19087,1.23116,1.4533,0.78497,0.79066,0.84527,0.5681,1.37426,1.04741,1.77609,0.00082925,0.00082925,0.00082925
19,11366.7,1.19717,1.24161,1.46161,0.84977,0.80961,0.84723,0.60469,1.28576,1.03747,1.65795,0.0008045,0.0008045,0.0008045
20,11925.6,1.18103,1.2056,1.44587,0.83989,0.84311,0.86557,0.61024,1.23676,1.01051,1.6121,0.00077975,0.00077975,0.00077975
21,12501.1,1.15454,1.13656,1.42409,0.85228,0.79514,0.84935,0.60426,1.31417,1.00536,1.67529,0.000755,0.000755,0.000755
22,13061.9,1.14739,1.15081,1.43203,0.85814,0.82135,0.86816,0.61432,1.2964,0.94491,1.66613,0.00073025,0.00073025,0.00073025
23,13620.8,1.1214,1.10522,1.39978,0.913,0.77033,0.84918,0.6182,1.2337,0.99057,1.58608,0.0007055,0.0007055,0.0007055
24,14179.3,1.13075,1.09476,1.40278,0.87839,0.81443,0.86216,0.63877,1.17409,0.85083,1.51698,0.00068075,0.00068075,0.00068075
25,14740.6,1.11784,1.08432,1.38753,0.89114,0.85627,0.87905,0.62081,1.28048,0.92888,1.62049,0.000656,0.000656,0.000656
26,15302.6,1.10173,1.06907,1.38503,0.82071,0.88098,0.88752,0.66611,1.16291,0.89947,1.51855,0.00063125,0.00063125,0.00063125
27,15862.8,1.11402,1.03241,1.39181,0.86103,0.87058,0.88737,0.65827,1.1708,0.82321,1.50421,0.0006065,0.0006065,0.0006065
28,16423.2,1.07864,1.02772,1.36939,0.87719,0.78361,0.85296,0.63389,1.21231,1.02092,1.59233,0.00058175,0.00058175,0.00058175
29,16985.4,1.06937,1.00198,1.36591,0.92828,0.87344,0.88751,0.64221,1.33075,0.95421,1.69808,0.000557,0.000557,0.000557
30,17546.5,1.05936,0.99161,1.35619,0.83147,0.85509,0.88792,0.64846,1.24238,0.83719,1.59084,0.00053225,0.00053225,0.00053225
31,18111.4,1.04855,0.9817,1.35338,0.91246,0.85835,0.89288,0.64968,1.2197,0.79984,1.53646,0.0005075,0.0005075,0.0005075
32,18669.5,1.04635,0.94555,1.35083,0.88694,0.83687,0.88293,0.65127,1.17378,0.79171,1.512,0.00048275,0.00048275,0.00048275
33,19225.7,1.02617,0.94682,1.33582,0.88066,0.83278,0.89369,0.66309,1.20343,0.82012,1.52963,0.000458,0.000458,0.000458
34,19783.4,1.03051,0.93639,1.33312,0.90851,0.87165,0.89321,0.65435,1.2322,0.77396,1.58317,0.00043325,0.00043325,0.00043325
35,20344.2,1.00575,0.90555,1.32078,0.87466,0.89017,0.90085,0.67055,1.22089,0.77885,1.54775,0.0004085,0.0004085,0.0004085
36,20905.4,1.01451,0.90279,1.33264,0.91462,0.86763,0.89729,0.66121,1.18464,0.77499,1.50829,0.00038375,0.00038375,0.00038375
37,21466.8,0.98844,0.87325,1.30839,0.9187,0.87154,0.90292,0.65776,1.16702,0.72846,1.51352,0.000359,0.000359,0.000359
38,22027.2,0.98813,0.86008,1.31332,0.9422,0.89334,0.91385,0.66983,1.18031,0.66878,1.51005,0.00033425,0.00033425,0.00033425
39,22586.8,0.96355,0.87234,1.29794,0.92894,0.84257,0.9106,0.6646,1.20611,0.73026,1.55077,0.0003095,0.0003095,0.0003095
40,23141.3,0.98146,0.87193,1.30119,0.93185,0.85517,0.90287,0.67646,1.17675,0.69544,1.53807,0.00028475,0.00028475,0.00028475
41,23676.3,0.86903,0.64545,1.28691,0.89761,0.87242,0.89452,0.68188,1.13089,0.71586,1.48582,0.00026,0.00026,0.00026
42,24209.7,0.83736,0.60456,1.25429,0.92581,0.87129,0.89283,0.67274,1.16422,0.69841,1.54422,0.00023525,0.00023525,0.00023525
43,24743.6,0.80676,0.57323,1.23283,0.8786,0.84122,0.88324,0.66397,1.135,0.7225,1.52519,0.0002105,0.0002105,0.0002105
44,25275.8,0.79239,0.55839,1.21799,0.91291,0.88222,0.90621,0.68622,1.16329,0.68634,1.51654,0.00018575,0.00018575,0.00018575
45,25809.5,0.78979,0.54736,1.21399,0.93081,0.85473,0.91182,0.68676,1.11897,0.66374,1.47645,0.000161,0.000161,0.000161
